word|kana|common_flag
あすぶ|あそぶ|false
あずかり|あずかり|true
あずかりしょ|あずかりじょ|false
あずかりしょう|あずかりしょう|true
あずかりじょ|あずかりじょ|true
あずかる|あずかる|true
あずき|あずき|true
あずけいれる|あずけいれる|true
あずける|あずける|true
あせ|あせ|true
あせり|あせり|true
あせる|あせる|true
あそこ|あそこ|true
あそび|あそび|true
あそびあいて|あそびあいて|true
あそびば|あそびば|true
あそび相手|あそびあいて|false
あそぶ|あそぶ|true
あたい|あたい|true
あたいする|あたいする|true
あたえる|あたえる|true
あたかも|あたかも|true
あたくし|あたし|false
あたし|あたし|true
あたたかい|あたたかい|true
あたたまる|あたたまる|true
あたためる|あたためる|true
あたま|あたま|true
あたまうち|あたまうち|true
あたまきん|あたまきん|true
あたらしい|あたらしい|true
あたり|あたり|true
あたりまえ|あたりまえ|true
あたりめえ|あたりまえ|false
あたりめー|あたりまえ|false
あたりやく|あたりやく|true
あたり前|あたりまえ|false
あたり役|あたりやく|false
あたる|あたる|true
あだかも|あたかも|false
あだな|あだな|true
あだびと|たにん|false
あだ名|あだな|true
あち|あちら|false
あちこち|あちこち|true
あちら|あちら|true
あちらこちら|あちこち|true
あぢぃ|あつい|false
あぢい|あつい|false
あぢー|あつい|false
あっ|あっ|true
あっか|あっか|true
あっかん|あっかん|true
あっけ|あっけ|true
あっこう|あっこう|true
あっさり|あっさり|true
あっしゅく|あっしゅく|true
あっしょう|あっしょう|true
あっせん|あっせん|true
あったかい|あたたかい|false
あったけー|あたたかい|false
あったまる|あたたまる|false
あっためる|あたためる|false
あったりめー|あたりまえ|false
あっち|あちら|true
あっちこっち|あちこち|true
あっつあっつ|あつあつ|false
あっつあつ|あつあつ|false
あっつい|あつい|false
あってない|あってない|true
あっての|あっての|true
あっというま|あっというま|true
あっというまに|あっというまに|true
あっという間|あっというま|true
あっという間に|あっというまに|true
あっとう|あっとう|true
あっとうてき|あっとうてき|true
あっとゆうま|あっというま|false
あっとゆう間|あっというま|false
あっとゆう間に|あっというまに|false
あっとゆーま|あっというま|false
あっとゆー間|あっというま|false
あっと言う間|あっというま|false
あっと言う間に|あっというまに|false
あっぱく|あっぱく|true
あっぶねー|あぶない|false
あっ旋|あっせん|false
あっ気|あっけ|false
あつあつ|あつあつ|true
あつい|あつい|true
あつかい|あつかい|true
あつかう|あつかう|true
あつかましい|あつかましい|true
あつがみ|あつがみ|true
あつぎ|あつぎ|true
あつさ|あつさ|true
あつまり|あつまり|true
あつまる|あつまる|true
あつみ|あつみ|true
あつめる|あつめる|true
あつりょく|あつりょく|true
あづい|あつい|false
あて|あて|true
あて|ちち|false
あてさき|あてさき|true
あてな|あてな|true
あてはまる|あてはまる|true
あてはめる|あてはめる|true
あてる|あてる|true
あて先|あてさき|false
あて名|あてな|false
あと|あと|true
あとおし|あとおし|true
あとかたづけ|あとかたづけ|true
あとから|あとから|true
あとがき|あとがき|true
あとしまつ|あとしまつ|true
あとつぎ|あとつぎ|true
あとのまつり|あとのまつり|true
あとまわし|あとまわし|true
あともどり|あともどり|true
あと押し|あとおし|false
あと片づけ|あとかたづけ|false
あと片付け|あとかたづけ|false
あな|あな|true
あない|あんない|false
あなうめ|あなうめ|true
あながち|あながち|true
あなた|あなた|true
あなた|かなた|false
あなたがた|あなたがた|true
あなた方|あなたがた|true
あなどる|あなどる|true
あに|あに|true
あに|ぎけい|false
あにき|あにき|true
あにさん|にいさん|false
あね|あね|true
あね|ぎし|false
あねさん|ねえさん|false
あねったい|あねったい|true
あの|あの|true
あのう|あの|false
あのかた|あのかた|true
あのさ|あのね|false
あのさあ|あのね|false
あのね|あのね|true
あのねえ|あのね|false
あのひと|あのひと|true
あのよ|あのよ|true
あのー|あの|true
あの世|あのよ|true
あの人|あのひと|true
あの方|あのかた|true
あはれ|あわれ|false
あばれる|あばれる|true
あひる|アヒル|false
あびせる|あびせる|true
あびる|あびる|true
あふれる|あふれる|true
あぶく|あわ|false
あぶない|あぶない|true
あぶねー|あぶない|false
あぶら|あぶら|true
あぶらえ|あぶらえ|true
あぶらみ|あぶらみ|true
あぶら身|あぶらみ|false
あべこべ|あべこべ|true
あほ|アホ|true
あほう|アホ|false
あま|あま|true
あまい|あまい|true
あまえ|あまえ|true
あまえる|あまえる|true
あまくだり|あまくだり|true
あまぐ|あまぐ|true
あまぐも|あまぐも|true
あます|あます|true
あまず|あまず|true
あまだれ|あまだれ|true
あまど|あまど|true
あまのかわ|あまのがわ|false
あまのがわ|あまのがわ|true
あまみ|あまみ|true
あまみず|あまみず|true
あまもり|あまもり|true
あまやかす|あまやかす|true
あまやどり|あまやどり|true
あまり|あまり|true
あまりに|あまりに|true
あまる|あまる|true
あま味|あまみ|false
あみ|あみ|true
あみだ|あみだ|true
あみど|あみど|true
あみもの|あみもの|true
あむ|あむ|true
あめ|あめ|true
あめがふる|あめがふる|true
あめつち|てんち|false
あめふり|あめふり|true
あやうい|あやうい|true
あやうく|あやうく|true
あやしい|あやしい|true
あやしむ|あやしむ|true
あやつる|あやつる|true
あやふや|あやふや|true
あやぶむ|あやぶむ|true
あやまち|あやまち|true
あやまって|あやまって|true
あやまり|あやまり|true
あやまる|あやまる|true
あゆ|あゆ|true
あゆみ|あゆみ|true
あゆみより|あゆみより|true
あゆみよる|あゆみよる|true
あゆむ|あゆむ|true
あら|あら|true
あらあらしい|あらあらしい|true
あらい|あらい|true
あらいあげる|あらいあげる|true
あらいもの|あらいもの|true
あらいもん|あらいもの|false
あらう|あらう|true
あらかじめ|あらかじめ|true
あらき|あらき|true
あらし|あらし|true
あらし|ぼうふう|false
あらし|ぼうふうう|false
あらす|あらす|true
あらすじ|あらすじ|true
あらそい|あらそい|true
あらそう|あらそう|true
あらた|あらた|true
あらた|しんでん|false
あらたまる|あらたまる|true
あらためて|あらためて|true
あらためる|あらためる|true
あらっぽい|あらっぽい|true
あらて|あらて|true
あらなみ|あらなみ|true
あらの|こうや|false
あらゆる|あらゆる|true
あららげる|あららげる|true
あらわす|あらわす|true
あらわれ|あらわれ|true
あらわれる|あらわれる|true
あらー|あら|false
あら筋|あらすじ|false
あり|あり|true
ありあわせ|ありあわせ|true
ありえない|ありえない|true
ありがたい|ありがたい|true
ありがち|ありがち|true
ありがとう|ありがとう|true
ありがとうございました|ありがとうございました|true
ありがとうございます|ありがとうございます|true
ありがとう御座います|ありがとうございます|false
ありさま|ありさま|true
ありしひ|ありしひ|true
ありし日|ありしひ|false
ありそう|ありそう|true
ありとあらゆる|ありとあらゆる|true
ありのまま|ありのまま|true
ありふれた|ありふれた|true
ありよう|ありさま|false
あり合せ|ありあわせ|false
あり合わせ|ありあわせ|true
あり得ない|ありえない|true
あり得無い|ありえない|false
あり様|ありさま|false
あり触れた|ありふれた|false
ある|ある|true
あるいは|あるいは|true
あるいみで|あるいみで|true
あるいみでは|あるいみでは|true
あるきまわる|あるきまわる|true
あるく|あるく|true
あるじ|あるじ|true
ある意味で|あるいみで|true
ある意味では|あるいみでは|true
あれ|あれ|true
あれ|われ|false
あれこれ|あれこれ|true
あれだけ|あれだけ|true
あれの|こうや|true
あれほど|あれほど|true
あれる|あれる|true
あれ程|あれほど|true
あわ|あわ|true
あわい|あいだ|false
あわい|あわい|true
あわす|あわす|true
あわせる|あわせる|true
あわただしい|あわただしい|true
あわてる|あわてる|true
あわれ|あわれ|true
あわれむ|あわれむ|true
あん|あの|false
あん|あん|true
あん|いおり|false
あんい|あんい|true
あんうん|あんうん|true
あんか|あんか|true
あんがい|あんがい|true
あんき|あんき|true
あんぎゃ|あんぎゃ|true
あんけん|あんけん|true
あんこ|あんこ|true
あんこく|あんこく|true
あんごう|あんごう|true
あんさつ|あんさつ|true
あんしょう|あんしょう|true
あんしん|あんしん|true
あんしんかん|あんしんかん|true
あんじ|あんじ|true
あんじゅう|あんじゅう|true
あんず|あんず|true
あんせい|あんせい|true
あんせん|あんぜん|false
あんぜん|あんぜん|true
あんぜんほしょう|あんぜんほしょう|true
あんた|あんた|true
あんたい|あんたい|true
あんだ|あんだ|true
あんちゃん|にいちゃん|false
あんてい|あんてい|true
あんな|あんな|true
あんない|あんない|true
あんに|あんに|true
あんね|あのね|false
あんのじょう|あんのじょう|true
あんばい|あんばい|true
あんび|あんぴ|false
あんぴ|あんぴ|true
あんぶ|あんぴ|false
あんぷ|あんぴ|false
あんぽ|あんぽ|true
あんま|あんま|true
あんまり|あまり|true
あんまりに|あまりに|false
あんみん|あんみん|true
あんもく|あんもく|true
あんらくし|あんらくし|true
あん摩|あんま|true
あー|ああ|true
あーあー|ああああ|false
あーいう|ああいう|false
あーっ|ああ|false
あーゆー|ああいう|false
あーーー|ああああ|false
い|い|true
い|ご|false
い|ごじゅう|false
い|せき|false
い|ね|false
いあわせる|いあわせる|true
いあん|いあん|true
いい|いい|true
いいあらわす|いいあらわす|true
いいえ|いいえ|true
いいかえす|いいかえす|true
いいかえる|いいかえる|true
いいかげん|いいかげん|true
いいかげんにしろ|いいかげんにしろ|true
いいかた|いいかた|true
いいきる|いいきる|true
いいだす|いいだす|true
いいなり|いいなり|true
いいね|いいね|true
いいぶん|いいぶん|true
いいまわし|いいまわし|true
いいや|いいや|true
いいようがない|いいようがない|true
いいわけ|いいわけ|true
いいわたし|いいわたし|true
いいわたす|いいわたす|true
いいん|いいん|true
いいんかい|いいんかい|true
いいんちょう|いいんちょう|true
いい切る|いいきる|false
いい加減|いいかげん|true
いい加減にしろ|いいかげんにしろ|true
いい返す|いいかえす|false
いう|いう|true
いう|ゆう|false
いうまでもない|いうまでもない|true
いえ|いいえ|true
いえ|いえ|true
いえあるじ|やぬし|false
いえい|いえい|true
いえいえ|いやいや|false
いえがら|いえがら|true
いえづくり|いえづくり|true
いえで|いえで|true
いえぬし|やぬし|false
いえもと|いえもと|true
いお|いおり|false
いおう|いおう|true
いおり|いおり|true
いか|いか|true
いか|イカ|false
いかが|いかが|true
いかがく|いかがく|true
いかく|いかく|true
いかす|いかす|true
いかに|いかに|true
いかにも|いかにも|true
いからせる|おこらせる|false
いかり|いかり|true
いかん|いかん|true
いがい|いがい|true
いがく|いがく|true
いがくぶ|いがくぶ|true
いがた|いがた|true
いがむ|ゆがむ|false
いき|いき|true
いきいき|いきいき|true
いきうめ|いきうめ|true
いきおい|いきおい|true
いきかえる|いきかえる|true
いきかた|いきかた|true
いきがい|いきがい|true
いきき|ゆきき|true
いきぎれ|いきぎれ|true
いきごみ|いきごみ|true
いきごむ|いきごむ|true
いきさかん|いきさかん|true
いきさき|いきさき|true
いきさつ|けいい|false
いきじ|いくじ|false
いきすぎ|いきすぎ|true
いきすぎる|いきすぎる|true
いきち|いきち|true
いきちがい|いきちがい|true
いきづまり|いきづまり|true
いきとどく|いきとどく|true
いきどおり|いきどおり|true
いきどまり|いきどまり|true
いきない|いきない|true
いきなり|いきなり|true
いきのこり|いきのこり|true
いきのこる|いきのこる|true
いきもの|いきもの|true
いきょく|いきょく|true
いきよい|いきおい|false
いきる|いきる|true
いきわたる|いきわたる|true
いき値|いきち|false
いき残り|いきのこり|false
いぎ|いぎ|true
いぎょう|いぎょう|true
いく|いく|true
いくえい|いくえい|true
いくか|いくにち|false
いくさ|いくさ|true
いくじ|いくじ|true
いくせい|いくせい|true
いくたび|いくど|false
いくつ|いくつ|true
いくつか|いくつか|true
いくど|いくど|true
いくどうおん|いくどうおん|true
いくにち|いくにち|true
いくぶん|いくぶん|true
いくら|いくら|true
いくら|イクラ|false
いく日|いくにち|false
いけ|いけ|true
いけがき|いけがき|true
いけない|いけない|true
いけばな|いけばな|true
いけません|いけません|true
いけめん|イケメン|false
いける|いける|true
いけん|いけん|true
いけ花|いけばな|false
いけ面|イケメン|false
いげ|いか|false
いげん|いげん|true
いこい|いこい|true
いこう|いこう|true
いこうどうおん|いくどうおん|false
いこく|いこく|true
いこつ|いこつ|true
いこん|いこん|true
いご|いご|true
いごこち|いごこち|true
いさぎよい|いさぎよい|true
いさぎ良い|いさぎよい|false
いさく|いさく|true
いさご|すな|false
いささか|いささか|true
いさましい|いさましい|true
いさみあし|いさみあし|true
いさむ|いさむ|true
いさる|あさる|false
いさん|いさん|true
いざかや|いざかや|true
いざこざ|いざこざ|true
いざない|さそい|false
いざなう|さそう|false
いし|いし|true
いしあたま|いしあたま|true
いしかい|いしかい|true
いしがき|いしがき|true
いしがけ|いしがき|false
いしがみ|しゃくじん|false
いしき|いしき|true
いしきちょうさ|いしきちょうさ|true
いしきてき|いしきてき|true
いしけってい|いしけってい|true
いしずえ|いしずえ|true
いしずみ|せきたん|false
いしそつう|いしそつう|true
いしだん|いしだん|true
いしつ|いしつ|true
いしつぶつ|いしつぶつ|true
いしばい|せっかい|false
いしばし|いしばし|true
いしひょうじ|いしひょうじ|true
いしぶみ|いしぶみ|true
いしぼとけ|せきぶつ|false
いしむろ|せきしつ|false
いしゃ|いしゃ|true
いしゅく|いしゅく|true
いしょ|いしょ|true
いしょう|いしょう|true
いしょく|いしょく|true
いしょくじゅう|いしょくじゅう|true
いしん|いしん|true
いじ|いじ|true
いじめ|いじめ|true
いじめる|いじめる|true
いじゅう|いじゅう|true
いじょう|いじょう|true
いじる|いじる|true
いじわる|いじわる|true
いじん|いじん|true
いす|いす|true
いずく|どこ|false
いずこ|どこ|false
いずみ|いずみ|true
いずれ|いずれ|true
いずれか|いずれか|true
いせい|いせい|true
いせいしゃ|いせいしゃ|true
いせき|いせき|true
いせき|せき|false
いぜん|いぜん|true
いぜんとして|いぜんとして|true
いそ|いそ|true
いそ|ごじゅう|false
いそいそ|いそいそ|true
いそいで|いそいで|true
いそう|いそう|true
いそうろう|いそうろう|true
いそがしい|いそがしい|true
いそぎ|いそぎ|true
いそぐ|いそぐ|true
いそん|いぞん|false
いそんしょう|いぞんしょう|false
いぞく|いぞく|true
いぞん|いぞん|true
いぞんしょう|いぞんしょう|true
いた|いた|true
いたい|いたい|true
いたく|いたく|true
いたす|いたす|true
いたずら|いたずら|true
いただき|いただき|true
いただきます|いただきます|true
いただく|いただく|true
いただける|いただける|true
いたって|いたって|true
いたづら|いたずら|false
いたで|いたで|true
いたましい|いたましい|true
いたみ|いたみ|true
いたむ|いたむ|true
いためる|いためる|true
いたる|いたる|true
いたるところ|いたるところ|true
いたる処|いたるところ|false
いたる所|いたるところ|false
いたわる|いたわる|true
いたん|いたん|true
いたガラス|いたガラス|true
いだい|いだい|true
いだく|いだく|true
いち|いち|true
いちい|いちい|true
いちいち|いちいち|true
いちいん|いちいん|true
いちえん|いちえん|true
いちおう|いちおう|true
いちおく|いちおく|true
いちがいに|いちがいに|true
いちがつ|いちがつ|true
いちがん|いちがん|true
いちぎ|いちぎ|true
いちぎょう|いちぎょう|true
いちぐう|いちぐう|true
いちぐん|いちぐん|true
いちげき|いちげき|true
いちげつ|ひとつき|false
いちげん|いちげん|true
いちげん|ひとこと|false
いちげんか|いちげんか|true
いちご|いちご|true
いちごん|ひとこと|false
いちざ|いちざ|true
いちじ|いちじ|true
いちじかん|いちじかん|true
いちじき|いちじき|true
いちじきん|いちじきん|true
いちじつ|いちにち|false
いちじてき|いちじてき|true
いちじょ|いちじょ|true
いちじょう|いちじょう|true
いちじるしい|いちじるしい|true
いちじんぶつ|いちじんぶつ|true
いちず|いちず|true
いちずける|いちづける|false
いちぞく|いちぞく|true
いちたいいち|いちたいいち|true
いちだ|いちだ|true
いちだい|いちだい|true
いちだん|いちだん|true
いちだんらく|いちだんらく|true
いちぢるしい|いちじるしい|false
いちつけ|いちづけ|false
いちづけ|いちづけ|true
いちづける|いちづける|true
いちど|いちど|true
いちどう|いちどう|true
いちどに|いちどに|true
いちなか|しちゅう|false
いちなん|いちなん|true
いちに|いちに|true
いちにち|いちにち|true
いちにちじゅう|いちにちじゅう|true
いちにちぢゅう|いちにちじゅう|false
いちにん|いちにん|true
いちにん|ひとり|false
いちにんまえ|いちにんまえ|true
いちねん|いちねん|true
いちねんかん|いちねんかん|true
いちねんじゅう|いちねんじゅう|true
いちねんせい|いちねんせい|true
いちねんぢゅう|いちねんじゅう|false
いちはやく|いちはやく|true
いちば|いちば|true
いちばい|いちばい|true
いちばん|いちばん|true
いちばんうえ|いちばんうえ|true
いちばんて|いちばんて|true
いちばんのり|いちばんのり|true
いちぶ|いちぶ|true
いちぶぶん|いちぶぶん|true
いちまい|いちまい|true
いちまいいわ|いちまいいわ|true
いちまつ|いちまつ|true
いちまん|いちまん|true
いちめん|いちめん|true
いちもん|いちもん|true
いちや|いちや|true
いちやく|いちやく|true
いちょう|いちょう|true
いちよう|いちよう|true
いちよく|いちよく|true
いちらん|いちらん|true
いちらんひょう|いちらんひょう|true
いちりつ|いちりつ|true
いちりつ|しりつ|false
いちりづか|いちりづか|true
いちりゅう|いちりゅう|true
いちりょう|いちりょう|true
いちるい|いちるい|true
いちれい|いちれい|true
いちれん|いちれん|true
いちわり|いちわり|true
いち早く|いちはやく|true
いち速く|いちはやく|false
いっか|いっか|true
いっかい|いっかい|true
いっかく|いっかく|true
いっかげつ|いっかげつ|true
いっかつ|いっかつ|true
いっかん|いっかん|true
いっき|いっき|true
いっきいちゆう|いっきいちゆう|true
いっきうち|いっきうち|true
いっきなり|いきなり|false
いっきに|いっきに|true
いっきゅう|いっきゅう|true
いっきょ|いっきょ|true
いっきょく|いっきょく|true
いっきょに|いっきょに|true
いっけ|いっか|false
いっけん|いっけん|true
いっこ|いっこ|true
いっこう|いっこう|true
いっこうに|いっこうに|true
いっこく|いっこく|true
いっこだて|いっこだて|true
いっさい|いっさい|true
いっさくじつ|おととい|false
いっさくねん|おととし|true
いっさつ|いっさつ|true
いっさんかたんそ|いっさんかたんそ|true
いっしき|いっしき|true
いっしつ|いっしつ|true
いっしゅ|いっしゅ|true
いっしゅう|いっしゅう|true
いっしゅうかん|いっしゅうかん|true
いっしゅうねん|いっしゅうねん|true
いっしゅん|いっしゅん|true
いっしょ|いっしょ|true
いっしょう|いっしょう|true
いっしょうけんめい|いっしょうけんめい|true
いっしょく|いっしょく|true
いっしょに|いっしょに|true
いっしん|いっしん|true
いっしんに|いっしんに|true
いっせい|いっせい|true
いっせいに|いっせいに|true
いっせき|いっせき|true
いっせきにちょう|いっせきにちょう|true
いっせつ|いっせつ|true
いっせん|いっせん|true
いっそ|いっそ|true
いっそう|いっそう|true
いっそく|いっそく|true
いっそのこと|いっそのこと|true
いっその事|いっそのこと|false
いったい|いったい|true
いったいいち|いちたいいち|false
いったりきたり|いったりきたり|true
いったん|いったん|true
いっち|いっち|true
いっちゃく|いっちゃく|true
いっちょう|いっちょう|true
いっちょくせん|いっちょくせん|true
いっつう|いっつう|true
いって|いって|true
いってい|いってい|true
いってきます|いってきます|true
いってらっしゃい|いってらっしゃい|true
いってん|いってん|true
いって来ます|いってきます|false
いっとう|いっとう|true
いっとき|ひととき|false
いっぱ|いっぱ|true
いっぱい|いっぱい|true
いっぱく|いっぱく|true
いっぱつ|いっぱつ|true
いっぱん|いっぱん|true
いっぱんじん|いっぱんじん|true
いっぱんてき|いっぱんてき|true
いっぱんに|いっぱんに|true
いっぴき|いっぴき|true
いっぴょう|いっぴょう|true
いっぴん|いっぴん|true
いっぷう|いっぷう|true
いっぺん|いっぺん|true
いっぺんとう|いっぺんとう|true
いっぺんに|いっぺんに|true
いっぽ|いっぽ|true
いっぽう|いっぽう|true
いっぽうつうこう|いっぽうつうこう|true
いっぽうてき|いっぽうてき|true
いっぽん|いっぽん|true
いつ|いつ|true
いつ|ご|false
いつか|いつか|true
いつごろ|いつごろ|true
いつだつ|いつだつ|true
いつつ|いつつ|true
いつでも|いつでも|true
いつになく|いつになく|true
いつになったら|いつになったら|true
いつのまにか|いつのまにか|true
いつの間にか|いつのまにか|true
いつまでも|いつまでも|true
いつも|いつも|true
いつもとおり|いつもどおり|false
いつもどうり|いつもどおり|false
いつもどおり|いつもどおり|true
いつも通り|いつもどおり|true
いつわ|いつわ|true
いつわる|いつわる|true
いつ迄も|いつまでも|false
いつ頃|いつごろ|true
いづこ|どこ|false
いづれ|いずれ|false
いてん|いてん|true
いでん|いでん|true
いでんし|いでんし|true
いと|いと|true
いとぐち|いとぐち|true
いとこ|いとこ|true
いとしい|いとしい|true
いとてき|いとてき|true
いとなみ|いとなみ|true
いとなむ|いとなむ|true
いとめる|いとめる|true
いど|いど|true
いどう|いどう|true
いどうへいきん|いどうへいきん|true
いどこ|どこ|false
いどむ|いどむ|true
いな|いな|true
いない|いない|true
いなか|いなか|true
いなさく|いなさく|true
いなずま|いなずま|true
いなだ|いなだ|true
いなづま|いなずま|false
いなほ|いなほ|true
いなり|いなり|true
いにしえ|いにしえ|true
いにん|いにん|true
いぬ|いぬ|true
いね|いね|true
いねかり|いねかり|true
いねむり|いねむり|true
いのしし|いのしし|true
いのち|いのち|true
いのり|いのり|true
いのる|いのる|true
いはん|いはん|true
いばしょ|いばしょ|true
いばり|にょう|false
いばる|いばる|true
いひょう|いひょう|true
いひん|いひん|true
いびき|いびき|true
いふく|いふく|true
いぶき|いぶき|true
いぶくろ|いぶくろ|true
いぶつ|いぶつ|true
いぶん|いぶん|true
いへん|いへん|true
いほう|いほう|true
いま|いま|true
いまいち|いまいち|true
いまごろ|いまごろ|true
いまさら|いまさら|true
いましめ|いましめ|true
いましめる|いましめる|true
いますぐ|いますぐ|true
いまだ|まだ|false
いまどき|いまどき|true
いまに|いまに|true
いまにも|いまにも|true
いまひとつ|いまひとつ|true
いままで|いままで|true
いまや|いまや|true
いまわしい|いまわしい|true
いま一つ|いまひとつ|false
いみ|いみ|true
いみあい|いみあい|true
いみふめい|いみふめい|true
いみょう|いみょう|true
いみん|いみん|true
いめい|いみょう|false
いも|いも|true
いもうと|いもうと|true
いもうと|ぎまい|false
いもの|いもの|true
いもん|いもん|true
いや|いや|true
いやいや|いやいや|true
いやおい|やよい|false
いやがらせ|いやがらせ|true
いやがる|いやがる|true
いやき|いやき|true
いやく|いやく|true
いやくひん|いやくひん|true
いやけ|いやき|false
いやしい|いやしい|true
いやらしい|いやらしい|true
いよいよ|いよいよ|true
いよう|いよう|true
いよく|いよく|true
いらい|いらい|true
いらいら|いらいら|true
いらして|いらして|true
