0;ja;fr;sounds;notes;JLPT;tags
4574;ⓐ「山田さんですか。」<br>ⓑ「はい。」;"ⓐ ""Are you Yamada?""<br>ⓑ ""Yes.""";[sound:jlpt-tango_n5_tango_n5_0009.ogg];;N5;jlpt-tango/n5
4575;ⓐ「山田さんですか。」<br>ⓑ「はい、そうです。」;"ⓐ ""Are you Yamada?""<br>ⓑ ""Yes, I am.""";[sound:jlpt-tango_n5_tango_n5_0012.ogg];;N5;jlpt-tango/n5
4576;ⓐ「山田さんの傘はどれですか。」<br>ⓑ「これです。」;"ⓐ ""Which umbrella is yours, Yamada-san?""<br>ⓑ ""This one.""";[sound:jlpt-tango_n5_tango_n5_0238-1.ogg];;N5;jlpt-tango/n5
4577;ⓐ「弟さんはおいくつですか。」<br>ⓑ「１５歳です。」;"ⓐ ""How old is your younger brother.""<br>ⓑ ""He is 15 years old.""";[sound:jlpt-tango_n5_tango_n5_0730.ogg];;N5;jlpt-tango/n5
4578;ⓐ「新幹線は何番線ですか。」<br>ⓑ「１４番線です。」;"ⓐ ""What track number is the Shinkansen at?""<br>ⓑ ""It's track number 14.""";[sound:jlpt-tango_n5_tango_n5_0747.ogg];;N5;jlpt-tango/n5
4580;ⓐ「日本の食べ物はどうですか。」<br>ⓑ「美味しいです。」;"ⓐ ""How do you find Japanese food?""<br>ⓑ ""It's delicious.""";[sound:jlpt-tango_n5_tango_n5_0504.ogg];;N5;jlpt-tango/n5
4581;ⓐ「日本語が上手ですね。」<br>ⓑ「いいえ、まだまだです。」;"ⓐ ""You speak good Japanese.""<br>ⓑ ""No, it's not nearly good enough.""";[sound:jlpt-tango_n5_tango_n5_0530.ogg];;N5;jlpt-tango/n5
4583;ⓐ「明日は何曜日ですか。」<br>ⓑ「火曜日です。」;"ⓐ ""What day is tomorrow?""<br>ⓑ ""It's Tuesday.""";[sound:jlpt-tango_n5_tango_n5_0141.ogg];;N5;jlpt-tango/n5
4584;ⓐ「明日、映画を見ませんか。」<br>ⓑ「残念ですが、明日はちょっと。」;"ⓐ ""How about going to the a movies tomorrow?""<br>ⓑ ""Unfortunately, tomorrow isn't good for me.""";[sound:jlpt-tango_n5_tango_n5_0829.ogg];;N5;jlpt-tango/n5
4586;ⓐ「朝、何か食べましたか。」<br>ⓑ「いいえ、何も食べませんでした。」;"ⓐ ""Did you eat something this morning?""<br>ⓑ ""No, I had nothing.""";[sound:jlpt-tango_n5_tango_n5_0484.ogg];;N5;jlpt-tango/n5
4587;ⓐ「東京から大阪まで２時間半です。」<br>ⓑ「早いですね。」;"ⓐ ""It takes two and a half hours from Tōkyō to Ōsaka.""<br>ⓑ ""That's fast, isn't it?""";[sound:jlpt-tango_n5_tango_n5_0408.ogg];;N5;jlpt-tango/n5
4588;ⓐ「林檎をいくつ買いましたか。」<br>ⓑ「五つ買いました。」;"ⓐ ""How many apples did you buy?""<br>ⓑ ""I bought five.""";[sound:jlpt-tango_n5_tango_n5_0657.ogg];;N5;jlpt-tango/n5
4589;ⓐ「林檎を五つください。」<br>ⓑ「はい。全部で５００円です。」;"ⓐ ""Please give me 5 apples.""<br>ⓑ ""Here you go. It's 500 yen in all.""";[sound:jlpt-tango_n5_tango_n5_0658.ogg];;N5;jlpt-tango/n5
4590;ⓐ「毎日、何時間働きますか。」<br>ⓑ「８時間働きます。」;"ⓐ ""How many hours do you work every day?""<br>ⓑ ""I work 8 hours.""";[sound:jlpt-tango_n5_tango_n5_0281.ogg];;N5;jlpt-tango/n5
4591;ⓐ「毎日忙しいですか。」<br>ⓑ「そんなに忙しくないです。」;"ⓐ ""Are you busy every day?""<br>ⓑ ""No, not so much.""";[sound:jlpt-tango_n5_tango_n5_1027.ogg];;N5;jlpt-tango/n5
4592;ⓐ「毎日、残業します。」<br>ⓑ「大変ですね。」;"ⓐ ""I work overtime every day.""<br>ⓑ ""That is terrible.""";[sound:jlpt-tango_n5_tango_n5_0971.ogg];;N5;jlpt-tango/n5
4593;ⓐ「毎晩、１時頃寝ます。<br>ⓑ「遅いですね。」;"ⓐ ""I go to sleep around 1AM every night.""<br>ⓑ ""That's late, isn't it?""";[sound:jlpt-tango_n5_tango_n5_0409.ogg];;N5;jlpt-tango/n5
4598;ⓐ「消しゴムが何個ありますか。」<br>ⓑ「１０個です。」;"ⓐ ""How many erasers are there?""<br>ⓑ ""There are 10 of them.""";[sound:jlpt-tango_n5_tango_n5_0266.ogg];;N5;jlpt-tango/n5
4602;ⓐ「疲れましたね。少し休みましょう。」<br>ⓑ「はい。」;"ⓐ ""I'm tired. Let's rest a little.""<br>ⓑ ""Okay.""";[sound:jlpt-tango_n5_tango_n5_0968.ogg];;N5;jlpt-tango/n5
4603;ⓐ「皆さん、今日はロボットについて話します。このロボとは色々なことが出来ます。」<br>ⓑ「へえ、それは凄いですね。」;"ⓐ ""Everyone, today we will discuss about robots. Robots can do many things.""<br>ⓑ ""Wow, that is amazing.""";[sound:jlpt-tango_n5_tango_n5_1032.ogg];;N5;jlpt-tango/n5
4609;ⓐ「空港までどうやって行きますか。」<br>ⓑ「新宿からバスで行きます。」;"ⓐ ""How do I get to the airport?""<br>ⓑ ""You can take the bus from Shinjuku.""";[sound:jlpt-tango_n5_tango_n5_0775.ogg];;N5;jlpt-tango/n5
4610;ⓐ「美味しい料理ですね。全部自分で作りましたか。」<br>ⓑ「はい。」;"ⓐ ""This food is good. Did you cook it yourself.""<br>ⓑ ""Yes.""";[sound:jlpt-tango_n5_tango_n5_0509.ogg];;N5;jlpt-tango/n5
4611;ⓐ「良かったら一緒に広島へ行きませんか。」<br>ⓑ「はい、是非。」;"ⓐ ""Why don't you come with me to Hiroshima?""<br>ⓑ ""Yes, I would love to.""";[sound:jlpt-tango_n5_tango_n5_0825.ogg];;N5;jlpt-tango/n5
4612;ⓐ「茶道は易しいですか。」<br>ⓑ「いいえ。難しいです。」;"ⓐ ""Is the tea ceremony easy?""<br>ⓑ ""No. It is difficult.""";[sound:jlpt-tango_n5_tango_n5_0535.ogg];;N5;jlpt-tango/n5
4613;ⓐ「誕生日はいつですか。」<br>ⓑ「５月５日です。」;"ⓐ ""When is your birthday?""<br>ⓑ ""It's May 5th.""";[sound:jlpt-tango_n5_tango_n5_0725.ogg];;N5;jlpt-tango/n5
4614;ⓐ「車で駅まで送りましょうか。」<br>ⓑ「ありがとうございます。」;"ⓐ ""Shall I drive you to the train station.""<br>ⓑ ""Thank you very much.""";[sound:jlpt-tango_n5_tango_n5_0751.ogg];;N5;jlpt-tango/n5
4616;ⓐ「野菜の売り場はどこですか。」<br>ⓑ「あそこです。」;"ⓐ ""Where is the counter that sells vegetables?""<br>ⓑ ""It is over there.""";[sound:jlpt-tango_n5_tango_n5_0665.ogg];;N5;jlpt-tango/n5
4617;ⓐ「銀行はどこですか。」<br>ⓑ「郵便局の隣です。」;"ⓐ ""Where is the bank.""<br>ⓑ ""It is next to the post office.""";[sound:jlpt-tango_n5_tango_n5_0810.ogg];;N5;jlpt-tango/n5
4618;ⓐ「銀行へ行きたいです。いくつ目の交差点ですか。」<br>ⓑ「３つ目ですよ。」;"ⓐ ""I want to go to the bank. Which intersection is it on?""<br>ⓑ ""It is on the third one.""";[sound:jlpt-tango_n5_tango_n5_0792.ogg];;N5;jlpt-tango/n5
4619;ⓐ「鞄を持ちましょうか。」<br><br>ⓑ「はい、ありがとうございます。」;"ⓐ ""Shall I hold the bag?""<br>ⓑ ""Yes, thank you.""";[sound:jlpt-tango_n5_tango_n5_0341.ogg];;N5;jlpt-tango/n5
4621;ⓐ「飲み物は何がいいですか。」<br>ⓑ「コーヒーをお願いします。」;"ⓐ ""What would you like to drink?""<br>ⓑ ""Coffee please.""";[sound:jlpt-tango_n5_tango_n5_0442.ogg];;N5;jlpt-tango/n5
4853;あそこが広い。;That place over there is spacious.;[sound:01-あそこが広い.ogg]<br>[sound:220829_1225_01.ogg]<br>[sound:あそこが広い。.ogg]<br>[sound:bunpro_あそこが広い。.ogg];;N5;bunpro JLPT5 validated
4899;あそこの公園へ行く。;To go <strong>to</strong> that park over there. <br>To go to the park over there.;[sound:01-あそこの公園へ行く.ogg]<br>[sound:220829_1611.ogg]<br>[sound:あそこの公園へ行く。.ogg]<br>[sound:bunpro_あそこの公園へ行く。.ogg];;N5;bunpro JLPT5 validated
4904;あそこの店。;The store over there.;[sound:03-あそこの店.ogg]<br>[sound:220829_1225_02.ogg]<br>[sound:あそこの店。.ogg]<br>[sound:bunpro_あそこの店。.ogg];;N5;bunpro JLPT5 validated
4917;あそこは静か。;<strong>That place over there</strong> is quiet.<br>It is quiet over there.;[sound:05-あそこは静か.ogg]<br>[sound:220829_1225_04.ogg]<br>[sound:あそこは静か。.ogg]<br>[sound:bunpro_あそこは静か。.ogg];;N5;bunpro JLPT5 validated
4920;あそこも寒い。;<strong>That place over there</strong> is cold too.<br>It is cold over there too.;[sound:07-あそこも寒い.ogg]<br>[sound:220829_1225_06.ogg]<br>[sound:あそこも寒い。.ogg]<br>[sound:bunpro_あそこも寒い。.ogg];;N5;bunpro JLPT5 validated
4921;あそこも楽しい。;That place over there is also fun.;[sound:08-あそこも楽しい.ogg]<br>[sound:220829_1224_08.ogg]<br>[sound:あそこも楽しい。.ogg]<br>[sound:bunpro_あそこも楽しい。.ogg];;N5;bunpro JLPT5 validated
4923;あそこも綺麗ですか。;Is <strong>that place over there</strong> beautiful too?<br>Is it beautiful over there too?;[sound:09-あそこも綺麗ですかrerec.ogg]<br>[sound:220829_1225_03.ogg]<br>[sound:あそこも綺麗ですか。.ogg]<br>[sound:bunpro_あそこも綺麗ですか。.ogg];;N5;bunpro JLPT5 validated
4965;あと３０分ぐらいで行きます。;I will go/leave in approximately 30 minutes.;[sound:05-あと三十分ぐらいで行きます.ogg]<br>[sound:220830_2056_01.ogg]<br>[sound:あと３０分ぐらいで行きます。.ogg]<br>[sound:bunpro_あと３０分ぐらいで行きます。.ogg];;N5;bunpro JLPT5 validated
5016;あなたがいるでしょう。;You <strong>are</strong> (there), right? (<strong>exist</strong>)<br>You are there, right?;[sound:01-あなたがいるでしょう.ogg]<br>[sound:220829_1313_06.ogg]<br>[sound:あなたがいるでしょう。.ogg]<br>[sound:bunpro_あなたがいるでしょう。.ogg];;N5;bunpro JLPT5 validated
